actual_rul,pred_rul
44,52.5274
51,58.14615
27,36.74364
120,122.69846
101,117.47668
99,118.47006
71,73.39783
55,56.571796
55,50.240887
66,72.67084
77,70.12495
115,101.94198
115,110.8264
31,27.252342
108,127.77082
56,73.78171
136,124.5801
132,109.62668
85,100.04783
56,62.81042
18,16.916359
119,121.53168
78,72.16288
9,11.6460495
58,43.73639
11,13.145554
88,126.29773
144,123.99308
124,122.97769
89,81.19337
79,69.12482
55,58.951393
71,72.99135
65,83.68641
87,101.18059
137,129.24382
145,125.37077
22,22.050232
8,10.366486
41,42.48826
131,127.46767
115,110.00295
128,126.77547
69,66.58498
111,125.112915
7,10.438995
137,123.61472
55,62.864998
135,125.60906
11,16.971748
78,95.23423
120,124.04026
87,98.61412
87,117.23252
55,46.10402
93,75.07816
88,70.93336
40,52.196873
49,56.31399
128,121.616745
129,128.78752
58,58.318523
117,122.608185
28,26.322937
115,127.18594
87,106.006775
92,116.71199
103,108.855965
100,90.90259
63,86.76515
35,25.865456
45,56.049114
99,99.31565
117,130.10732
45,40.085087
27,32.56214
86,64.331024
20,20.602028
18,23.60466
133,119.54155
15,19.861626
6,6.296913
145,120.91584
104,90.788506
56,92.95025
25,28.737274
68,59.23665
144,129.60904
41,63.5891
51,46.4879
81,111.220795
14,13.409653
67,88.13858
10,7.322777
127,106.141106
113,93.548615
123,121.956856
17,21.592003
8,9.50576
28,25.283897
